panel	model	run_id	seed	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency	mean_candidates_per_image	policy	images	weed_instances	candidates	accepted_candidates	candidate_AUC_diagnostic	candidate_AP_diagnostic	contrast	metric	estimate	ci95_low	ci95_high	cluster_unit	clusters	bootstrap_replicates	date	precision
a-b	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260810_20260812_v1	20260810	0.7111984282907662	0.27044392523364486	0.24941588785046728	0.20619158878504673	0.2692307692307692	19.576923076923077																	
a-b	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260811_20260812_v1	20260811	0.7247524752475247	0.26343457943925236	0.24766355140186916	0.1991822429906542	0.3076923076923077	19.423076923076923																	
a-b	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260812_20260812_v1	20260812	0.6878612716763006	0.2523364485981308	0.2266355140186916	0.20327102803738317	0.23076923076923078	19.96153846153846																	
a-b	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260813_20260812_v1	20260813	0.7568627450980392	0.3008177570093458	0.28329439252336447	0.20969626168224298	0.23076923076923078	19.615384615384617																	
a-b	ResNet18-UNet	P2_WEEDSGALORE_TARGET_SEMANTIC_H200_SEED_20260814_20260812_v1	20260814	0.7034883720930233	0.24707943925233644	0.2272196261682243	0.19509345794392524	0.19230769230769232	19.846153846153847																	
a-b	DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260820_20260812_v2	20260820	0.6848249027237354	0.276285046728972	0.2435747663551402	0.19450934579439252	0.2692307692307692	19.76923076923077																	
a-b	DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260821_20260812_v1	20260821	0.6862745098039216	0.2587616822429907	0.231892523364486	0.1886682242990654	0.23076923076923078	19.615384615384617																	
a-b	DeepLabV3Plus-ResNet50	P2_WEEDSGALORE_DEEPLABV3PLUS_H200_SEED_20260822_20260812_v1	20260822	0.6783625730994152	0.2780373831775701	0.2505841121495327	0.1939252336448598	0.23076923076923078	19.73076923076923																	
a-b	Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260820_20260812_v1	20260820	0.8	0.24532710280373832	0.23130841121495327	0.22021028037383178	0.23076923076923078	20.0																	
a-b	Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260821_20260812_v1	20260821	0.7942307692307692	0.2371495327102804	0.22546728971962618	0.21320093457943926	0.15384615384615385	20.0																	
a-b	Mask-RCNN-ResNet50-FPN-v2	P2_WEEDSGALORE_MASKRCNN_H200_SEED_20260822_20260812_v1	20260822	0.7730769230769231	0.24182242990654207	0.2207943925233645	0.21436915887850466	0.3076923076923077	20.0																	
a-b	Probability ranking		20260810	0.724950884086444	0.3533878504672897	0.290303738317757	0.20969626168224298	0.3076923076923077		mean_weed_probability	26	1712	1236	509	0.891018123294381	0.932953673272055										
a-b	Probability ranking		20260811	0.7366336633663366	0.33761682242990654	0.28154205607476634	0.20677570093457945	0.34615384615384615		mean_weed_probability	26	1712	1188	505	0.9232747990986012	0.9614124914292104										
a-b	Probability ranking		20260812	0.7321772639691715	0.36740654205607476	0.3002336448598131	0.21904205607476634	0.3076923076923077		mean_weed_probability	26	1712	1405	519	0.9063363017286536	0.9349254163981817										
a-b	Probability ranking		20260813	0.7568627450980392	0.3008177570093458	0.28329439252336447	0.20969626168224298	0.23076923076923078		conditional_weed_probability	26	1712	1267	510	0.8905910297610731	0.9358695767331361										
a-b	Probability ranking		20260814	0.7693798449612403	0.3364485981308411	0.28095794392523366	0.21320093457943926	0.23076923076923078		mean_weed_probability	26	1712	1357	516	0.8990571667263397	0.943205448114079										
c																	DeepLabV3Plus-ResNet50_minus_ResNet18-UNet	one_to_one_role_qualified_recall	-0.01031931464174457	-0.02163884999877194	-0.00019177535361985428	image	26	10000		
c																	Mask-RCNN-ResNet50-FPN-v2_minus_ResNet18-UNet	one_to_one_role_qualified_recall	0.013239875389408129	0.001479498060720439	0.028408706751969458	image	26	10000		
d			20260810		0.17346938775510204	0.14030612244897958	0.13010204081632654	0.875			8	392	219	149											2023-05-25	0.3691275167785235
